"","0","numtombo","1","familia","2","genero","3","sp","4","autorsp","5","taxoncompleto","6","pais","7","estado_prov","8","cidade","9","10","latitude","11","longitude","12","numcoleta","13","diacoleta","14","mescoleta","15","anocoleta"
"65",5709,5709,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15417,-40.15417,NULL,NULL,11,11,8,8,2012,2012
"66",612191,612191,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-15.06056,-15.06056,-40.68000,-40.68000,7896,7896,1,1,11,11,2014,2014
"67",5640,5640,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,NULL,NULL,Brasil,-14.21361,-14.21361,-39.55250,-39.55250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68",5696,5696,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15278,-40.15278,NULL,NULL,11,11,8,8,2012,2012
"69",483783,483783,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Bahia,Bahia,Pau Brasil,Pau Brasil,Brasil,-15.57222,-15.57222,-39.65250,-39.65250,133,133,26,26,2,2,2005,2005
"70",5710,5710,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15417,-40.15417,NULL,NULL,11,11,8,8,2012,2012
"71",5714,5714,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,NULL,NULL,NULL,NULL,Brasil,-19.67778,-19.67778,-40.15444,-40.15444,NULL,NULL,11,11,8,8,2012,2012
"72",5630,5630,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.79861,-22.79861,-41.98583,-41.98583,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"73",636370,636370,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.94028,-22.94028,-43.11556,-43.11556,8112,8112,9,9,10,10,2015,2015
"74",5633,5633,LEGUMINOSAE,LEGUMINOSAE,Caesalpinia,Caesalpinia,echinata,echinata,Lam.,Lam.,Caesalpinia echinata Lam.,Caesalpinia echinata Lam.,Brasil,Brasil,Rio de Janeiro,Rio de Janeiro,NULL,NULL,Brasil,-22.80472,-22.80472,-41.96222,-41.96222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
